id,title,author,tags,lyrics,theme,updated_at,updated_by,version,歌詞連結
be-thou-my-vision,主是我萬有 Be Thou My Vision,生命聖詩 387,敬拜,,midnight,,,0,
abiding-in-you,住在祢裡面 Abiding in You,讚美之泉,敬拜,,midnight,,,0,
in-his-time,按照神的時刻 In His Time,,敬拜,,midnight,,,0,https://www.youtube.com/watch?v=Okx4PL1VJ5A
you-are-my-hiding-place,祢是我藏身處 You Are My Hiding Place,新歌頌揚,敬拜,,midnight,,,0,
precious-lord-take-my-hand,"親愛主，牽我手 Precious Lord, Take My Hand",生命聖詩 439,敬拜,,midnight,,,0,
fill-my-cup-lord,求主充滿我杯 Fill My Cup Lord,教會聖詩 340,敬拜,,midnight,,,0,
as-the-deer,如鹿切慕溪水 As The Deer,,敬拜,,midnight,,,0,
soar-on-wings-like-an-eagle,如鷹展翅上騰 Soar on Wings Like an Eagle,生命河靈糧堂,敬拜,,midnight,,,0,
by-gentle-powers-lovingly-surrounded,所有美善力量 By Gentle Powers Lovingly Surrounded,,敬拜,,midnight,,,0,
god-will-take-care-of-you,天父必看顧你 God Will Take Care of You,生命聖詩 52,敬拜,,midnight,,,0,
almighty-jehovah,萬軍之耶和華 Almighty Jehovah,讚美之泉,敬拜,,midnight,,,0,
i-d-rather-have-jesus,我寧願有耶穌 I'd Rather Have Jesus,生命聖詩 361,敬拜,,midnight,,,0,
it-is-well-with-my-soul,我心靈得安寧 It Is Well with My Soul,生命聖詩 342,敬拜,,midnight,,,0,
jesus-gives-you-peace,耶穌給你平安 Jesus Gives You Peace,天韵,敬拜,,midnight,,,0,
jesus-you-are-precious,"耶穌祢是寶貴 Jesus, You Are Precious",萬國敬拜與讚美,敬拜,,midnight,,,0,
my-times-are-in-your-hand,一生在神手中 My Times Are In Your Hand,新心音樂,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/life290.html
this-world-is-not-my-home,這世界非我家 This World Is Not My Home,生命聖詩 485,敬拜,,midnight,,,0,
god-s-love-refreshes-my-heart,主愛滋潤我心 God's Love Refreshes My Heart,天韻,敬拜,,midnight,,,0,
you-are-my-strength,主，祢是我力量 You Are My Strength,讚美之泉,敬拜,,midnight,,,0,
lord-i-belong-to-you-alone,"主，我願單屬祢 Lord, I Belong to You Alone",我心旋律,敬拜,,midnight,,,0,
my-jesus-i-love-thee,"主耶穌，我愛祢 My Jesus, I Love Thee",生命聖詩 301,敬拜,,midnight,,,0,
hide-me-in-your-holiness,藏我在祢聖潔裡 Hide Me In Your Holiness,,敬拜,,midnight,,,0,
your-grace-is-all-i-need,祢的恩典夠我用 Your Grace Is All I Need,小羊詩歌,敬拜,,midnight,,,0,
prayer-of-saint-francis,聖法蘭西斯的禱 (使我作祢和平之子) Prayer of Saint Francis,Sebastian Temple,敬拜,,midnight,,,0,
my-redeemer-lives,我的救贖者活著 My Redeemer Lives,讚美之泉,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/c0353.html
i-do-not-worry-about-tomorrow,我不為明天憂慮 I Do Not Worry About Tomorrow,至高尊名,敬拜,,midnight,,,0,
my-peace-i-gave-unto-you,我將平安賜給你 My Peace I Gave Unto You,,敬拜,,midnight,,,0,https://www.youtube.com/watch?v=LYh0z2Cx0uA
we-ve-become-one-family,我們成為一家人 We've Become One Family,,敬拜,,midnight,,,0,
i-know-who-holds-tomorrow,我知誰掌管明天 I Know Who Holds Tomorrow,生命聖詩 282,敬拜,,midnight,,,0,
wings-of-the-dawn,展開清晨的翅膀 Wings of the Dawn,讚美之泉,敬拜,,midnight,,,0,
saviour-like-a-shepherd-lead-us,"懇求主像牧人領導  Saviour, Like a Shepherd, Lead Us",生命聖詩 311,敬拜,,midnight,,,0,
you-are-the-light-of-my-life,祢是我生命的亮光 You Are the Light of My Life,我心旋律,敬拜,,midnight,,,0,
i-know-whom-i-have-believed,我深知所信的是誰 I Know Whom I Have Believed,Daniel Whittle,敬拜,,midnight,,,0,
tis-so-sweet-to-trust-in-jesus,信靠耶穌真是甜美 'Tis So Sweet to Trust in Jesus,生命聖詩 286,敬拜,,midnight,,,0,
jesus-is-all-the-world-to-me,耶穌基督是我一切 Jesus Is All the World to Me,生命聖詩 416,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/life416.html
since-jesus-came-into-my-heart,自耶穌來住在我心 Since Jesus Came into My Heart,生命聖詩 419,敬拜,,midnight,,,0,
who-can-separate-us,誰能使我與神的愛隔絕 Who Can Separate Us,小羊詩歌,敬拜,,midnight,,,0,
i-believe-in-a-hill-called-mount-calvary,我深信在那各各他山頂 I Believe in a Hill Called Mount Calvary,Bill Gaither,敬拜,,midnight,,,0,
i-need-you-in-my-life,我需要有祢在我生命中 I Need You in My Life,有情天音樂,敬拜,,midnight,,,0,
the-light-of-your-grace,主的恩典乃是一生之久 The Light of Your Grace,讚美之泉,敬拜,,midnight,,,0,
hear-my-voice-in-the-morning,懇求祢清晨聼我聲音 Hear My Voice In The Morning,新心,敬拜,,midnight,,,0,
there-is-a-fountain-filled-with-blood,寶血活泉 There Is a Fountain Filled with Blood,生命聖詩 173,十架,,vesper,,,0,
great-is-your-love,十架的愛 Great Is Your Love,讚美之泉,十架,,vesper,,,0,
the-old-rugged-cross,古舊十架 The Old Rugged Cross,生命聖詩 120,十架,,vesper,,,0,
lamb-of-god,真神羔羊 Lamb of God,新歌頌揚,十架,,vesper,,,0,
i-receive-your-love,"愛, 我願意 I Receive Your Love",讚美之泉,十架,,vesper,,,0,
near-the-cross,靠近十架 Near the Cross,生命聖詩 367,十架,,vesper,,,0,http://www.christianstudy.com/data/hymns/text/life367.html
precious-cross,寶貴十架 Precious Cross,讚美之泉,十架,,vesper,,,0,
the-sacrificial-love,犧牲的愛 The Sacrificial Love,讚美之泉,十架,,vesper,,,0,
because-of-the-cross,因著十架愛 Because of the Cross,靈糧堂,十架,,vesper,,,0,
your-steadfast-love,祢愛永不變 Your Steadfast Love,有情天音樂,十架,,vesper,,,0,
jesus-paid-it-all,耶穌付贖價 Jesus Paid It All,Elvina Hall,十架,,vesper,,,0,
you-alone-are-my-savior,祢是我永遠的救主 You Alone Are My Savior,王子音樂,十架,,vesper,,,0,
when-i-survey-the-wondrous-cross,奇妙十架 When I Survey the Wondrous Cross,生命聖詩 122,十架,,vesper,,,0,
song-af023f94,十架是榮耀,曾毓蘭,十架,,vesper,,,0,
the-wonderful-cross,奇妙十架 The Wonderful Cross,Chris Tomlin,十架,,vesper,,,0,
glorious-day-living-he-loved-me,榮耀日 Glorious Day (Living He loved me),Casting Crown,十架,,vesper,,,0,https://www.youtube.com/watch?v=VXp6xcY5IqU
above-all,超越一切 Above All,"Lenny LeBlanc, Paul Baloche",十架,,vesper,,,0,https://www.youtube.com/watch?v=dvX89Mihb3o
the-grace-of-redemption-07c8,救贖的恩典 The Grace of Redemption,讚美之泉,十架,,vesper,,,0,
living-sacrifice,活祭 Living Sacrifice,小羊詩歌,回應,,forest,,,0,
footsteps,腳步 Footsteps,泥土音樂,回應,,forest,,,0,
live-out-love,活出愛 Live out Love,泥土音樂,回應,,forest,,,0,
your-love,袮的愛 Your Love,讚美之泉,回應,,forest,,,0,
by-faith,因著信 By Faith,角聲使團,回應,,forest,,,0,http://christianstudy.com/data/hymns/text/c2974.html
see-you-face-to-face,愛中相遇 See You Face to Face,讚美之泉,回應,,forest,,,0,
love-one-another,彼此相愛 Love One Another,讚美之泉,回應,,forest,,,0,
revive-holiness,復興聖潔 Revive Holiness,讚美之泉,回應,,forest,,,0,
find-us-faithful,鑒我忠誠 Find Us Faithful,,回應,,forest,,,0,
my-utmost-for-you,竭誠獻上 My Utmost For You,新心音樂,回應,,forest,,,0,
habitation,祢的居所  Habitation,,回應,,forest,,,0,
the-servant-king,僕人君王 The Servant King,,回應,,forest,,,0,
all-for-you-b5ad,全然為祢 All For You,生命河靈糧堂,回應,,forest,,,0,
my-living-sacrifice,獻上活祭 My Living Sacrifice,新歌頌揚,回應,,forest,,,0,
take-my-life-and-let-it-be,"獻己於主 Take My Life, and Let It Be",生命聖詩 458,回應,,forest,,,0,
higher-ground,向高處行 Higher Ground,生命聖詩 368,回應,,forest,,,0,
trust-and-obey,信靠順服 Trust and Obey,生命聖詩 287,回應,,forest,,,0,
he-ne-ni,我在這裡 He-Ne-Ni,我心旋律,回應,,forest,,,0,http://www.christianstudy.com/data/hymns/text/c0981.html
unless-a-seed,一粒麥子 Unless A Seed,小羊詩歌,回應,,forest,,,0,
with-all-my-love,一生愛祢 With All My Love,讚美之泉,回應,,forest,,,0,
lord-i-believe,"主, 我相信 Lord, I Believe",小羊詩歌,回應,,forest,,,0,
the-greatest-thing-in-all-my-life,最大的事 The Greatest Thing in All My Life,Mark Pendergrass,回應,,forest,,,0,
an-unreserved-love,愛是不保留 An Unreserved Love,盧永亨,回應,,forest,,,0,
when-you-found-me,當祢找到我 When You Found Me,,回應,,forest,,,0,
by-faith-i-receive,"豐盛的應許 By Faith, I Receive",讚美之泉,回應,,forest,,,0,
change-my-heart-o-lord,"更新我心意 Change My Heart, O Lord",,回應,,forest,,,0,
himself,今要主自己 Himself,生命聖詩 393,回應,,forest,,,0,
people-need-the-lord,人们需要主 People Need the Lord,Greg Nelson/Phil McHugh,回應,,forest,,,0,
knowing-you-jesus,"認識祢, 耶穌 Knowing You, Jesus",Graham kendrick,回應,,forest,,,0,
the-call-of-the-cross,十架的呼喚 The Call of the Cross,新心音樂,回應,,forest,,,0,
living-for-jesus,為耶穌而活 Living for Jesus,生命聖詩 469,回應,,forest,,,0,
i-will-go-for-you,我願為祢去 I Will Go for You,小羊詩歌,回應,,forest,,,0,
stand-up-stand-up-for-jesus,"興起爲耶穌 Stand Up, Stand Up for Jesus",生命聖詩 377,回應,,forest,,,0,
make-me-a-servant,願做主僕人 Make Me a Servant,教會聖詩 435-1,回應,,forest,,,0,
o-to-be-like-thee,"主, 我願像祢 O to Be Like Thee!",生命聖詩 391,回應,,forest,,,0,http://www.christianstudy.com/data/hymns/text/life391.html
why-have-you-chosen-me,祢為何揀選我? Why Have You Chosen Me?,Rodger Strader,回應,,forest,,,0,
